,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,352.773,1000.0,5.87955,352.773,1000.0,99,110,296,460,160,172,1.026,,91.5,269.5,,,54,15,1
2,355.642,1000.0,5.927366666666667,708.415,2000.0,135,161,285,324,166,174,1.0167,,91.5,267.7,,,70,6,10
3,354.205,1000.0,5.903416666666667,1062.62,3000.0,148,159,280,365,166,170,1.0207,,91.7,267.4,,,71,2,14
4,359.726,1000.0,5.995433333333334,1422.346,4000.0,149,158,278,357,166,170,1.0032,,91.1,269.3,,,73,5,9
5,373.57,1000.0,6.226166666666667,1795.916,5000.0,153,163,289,370,164,168,0.9731000000000001,,90.1,273.0,,,76,16,2
6,365.903,1000.0,6.0983833333333335,2161.819,6000.0,151,159,283,334,164,172,0.9932000000000001,,90.9,270.8,,,74,5,5
7,355.46,1000.0,5.924333333333333,2517.279,7000.0,146,152,280,359,166,168,1.0236,,92.0,267.7,,,68,3,14
8,354.144,1000.0,5.9024,2871.423,8000.0,153,164,279,353,166,170,1.0139,,91.3,267.5,,,71,5,10
9,360.146,1000.0,6.002433333333333,3231.569,9000.0,161,165,300,364,166,170,1.0116,,91.1,267.7,,,78,15,2
10,350.104,1000.0,5.835066666666666,3581.673,10000.0,152,162,278,383,164,176,1.0281,,91.0,265.6,,,72,5,8
