,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,378.135,1000.0,6.30225,378.135,1000.0,128,142,291,369,164,172,0.9592999999999999,,88.7,272.2,,,70,18,0
2,341.893,1000.0,5.698216666666666,720.028,2000.0,133,142,297,337,168,172,1.049,,91.8,261.7,,,66,5,11
3,329.617,1000.0,5.493616666666667,1049.645,3000.0,133,140,298,375,168,170,1.078,,92.8,258.9,,,63,3,16
4,332.977,1000.0,5.549616666666666,1382.6219999999998,4000.0,137,143,300,359,168,172,1.0677999999999999,,92.3,259.5,,,65,5,10
5,353.788,1000.0,5.896466666666667,1736.4099999999999,5000.0,138,146,302,371,166,172,1.0204,,90.7,264.6,,,68,15,2
6,336.502,1000.0,5.608366666666667,2072.912,6000.0,145,152,305,372,168,176,1.0372999999999999,,90.3,259.8,,,70,11,8
7,324.028,1000.0,5.400466666666667,2396.9399999999996,7000.0,146,150,313,343,170,176,1.1042,,92.9,254.1,,,68,2,5
8,336.85,1000.0,5.614166666666667,2733.7899999999995,8000.0,150,157,304,365,168,176,1.0375999999999999,,90.1,259.1,,,71,11,2
9,309.389,1000.0,5.156483333333333,3043.1789999999996,9000.0,148,156,301,404,166,178,1.1322,,93.5,252.2,,,64,0,11
10,275.877,1000.0,4.59795,3319.0559999999996,10000.0,132,170,351,501,160,180,1.2519,,93.8,233.3,,,55,11,2
11,156.723,618.08,4.22607105876262,3475.7789999999995,10618.08,163,168,360,437,168,180,1.3366,,95.0,222.7,,,37,1,3
