,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,345.325,1000.0,5.755416666666666,345.325,1000.0,145,160,344,419,162,176,1.0478,4.353425484764538,117.7,259.3,49.15,,73,11,1
2,381.669,1000.0,6.361149999999999,726.9939999999999,2000.0,141,157,301,358,164,168,0.9598,3.3701544715447076,111.8,270.8,49.46,,72,4,9
3,377.013,1000.0,6.28355,1104.0069999999998,3000.0,141,150,298,343,164,170,0.9621000000000001,4.775458536585359,110.3,267.9,49.12,,69,2,10
4,381.284,1000.0,6.354733333333333,1485.2909999999997,4000.0,140,147,303,365,164,172,0.958,3.558654742547423,107.1,272.2,49.41,,69,1,5
5,422.691,1000.0,7.044849999999999,1907.9819999999997,5000.0,141,148,282,347,160,166,0.8749,1.8411295392953921,103.2,285.9,49.92,,71,7,7
6,438.17,1000.0,7.302833333333334,2346.1519999999996,6000.0,144,151,284,367,162,166,0.8521,2.9890433604335995,100.8,288.7,49.68,,74,14,2
7,438.665,1000.0,7.311083333333333,2784.8169999999996,7000.0,143,149,265,337,162,170,0.8408,2.5791159891598885,101.8,284.6,49.62,,70,7,8
8,438.011,1000.0,7.300183333333334,3222.8279999999995,8000.0,141,145,265,324,162,166,0.8563,3.5470840108401043,98.8,288.3,49.35,,68,5,3
9,443.774,1000.0,7.396233333333333,3666.6019999999994,9000.0,141,149,275,349,160,168,0.8397,3.718859620596202,102.5,289.1,49.42,,70,9,1
10,392.966,1000.0,6.549433333333334,4059.5679999999993,10000.0,138,147,288,394,164,174,0.9315,4.628370189701892,106.4,275.1,49.21,,65,1,15
