,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories
1,512.637,1671.16,5.1125864668852765,512.637,1671.16,178,190,308,336,178,182,1.0894000000000001,,86.3,240.3,,,129
2,1158.346,935.94,20.62714134096915,1670.983,2607.1000000000004,129,182,58,304,74,166,0.7373999999999999,,57.1,287.7,,,130
3,256.875,833.27,5.1378904796764555,1927.858,3440.3700000000003,178,185,310,319,178,180,1.0877999999999999,,86.4,240.7,,,64
4,306.411,446.71,11.432137180721273,2234.269,3887.0800000000004,144,186,111,411,112,178,0.7963,,61.3,273.4,,,43
5,256.597,830.95,5.146659446015604,2490.866,4718.030000000001,159,165,308,328,178,182,1.0849000000000002,,86.3,241.0,,,54
