,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,60.0,264.6,3.7792894935752077,60.0,264.6,142,161,407,506,166,188,1.4714,,95.5,203.3,,,12,0,0
2,60.0,165.13,6.055834796826742,120.0,429.73,164,166,292,457,166,178,1.0368,,91.1,264.9,,,13,0,1
3,45.0,203.36,3.688040912667191,165.0,633.09,165,171,439,526,178,186,1.4634,,97.8,210.2,,,11,1,1
4,45.0,132.48,5.661231884057972,210.0,765.57,170,172,286,427,166,184,1.0452000000000001,,89.7,261.4,,,10,0,0
5,30.0,143.79,3.4772932749148064,240.0,909.36,172,176,437,496,184,192,1.4954,,94.0,198.3,,,7,2,1
6,60.0,170.88,5.8520599250936325,300.0,1080.24,175,180,351,537,166,182,1.1407,,95.3,256.9,,,14,3,2
7,60.0,266.29,3.755304367418979,360.0,1346.53,170,172,410,491,178,182,1.4935999999999998,,98.9,208.2,,,15,0,4
8,60.0,165.91,6.027364233620638,420.0,1512.44,172,174,338,405,164,180,1.0811,,94.9,267.1,,,14,4,0
9,45.0,211.5,3.546099290780142,465.0,1723.94,173,175,424,502,182,188,1.347,,92.1,214.2,,,11,3,1
10,45.0,125.76,5.963740458015267,510.0,1849.7,174,175,273,424,166,184,1.0341,,90.0,263.0,,,10,0,1
11,30.0,145.69,3.4319445397762376,540.0,1995.39,174,178,488,563,184,190,1.4238,,92.8,205.3,,,8,4,0
12,60.0,161.3,6.199628022318661,600.0,2156.69,179,180,324,522,164,194,1.0144,,90.0,269.7,,,14,3,0
13,60.0,265.52,3.7661946369388373,660.0,2422.21,177,181,435,577,178,190,1.3305,,93.7,220.7,,,15,3,0
14,60.0,177.71,5.627145349164369,720.0,2599.92,178,181,304,463,166,182,1.0865,,93.2,260.5,,,14,0,1
15,45.0,212.44,3.530408585953681,765.0,2812.36,177,180,425,502,182,188,1.406,,93.6,209.0,,,12,1,4
16,45.0,123.62,6.066979453162919,810.0,2935.98,177,180,280,371,164,180,1.0286,,90.5,265.7,,,11,0,0
17,30.0,156.32,3.1985670419652,840.0,3092.3,171,174,488,582,192,200,1.5070999999999999,,87.6,194.2,,,7,1,0
