,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,376.562,1000.0,6.276033333333333,376.562,1000.0,128,146,291,441,164,172,0.9732999999999999,,88.5,270.6,,,69,18,0
2,340.699,1000.0,5.6783166666666665,717.261,2000.0,136,147,294,342,166,170,1.0617,,92.9,262.6,,,66,5,12
3,330.169,1000.0,5.502816666666666,1047.4299999999998,3000.0,137,145,297,376,166,176,1.0817999999999999,,93.5,260.3,,,64,4,15
4,334.956,1000.0,5.5826,1382.386,4000.0,138,146,300,369,166,172,1.0686,,93.3,262.3,,,65,4,7
5,337.527,1000.0,5.62545,1719.913,5000.0,143,159,311,415,164,170,1.069,,93.5,263.0,,,67,13,3
6,357.76,1000.0,5.962666666666666,2077.673,6000.0,144,155,292,330,166,172,1.0037,,90.5,267.5,,,71,12,5
7,342.97,1000.0,5.716166666666667,2420.643,7000.0,136,142,286,375,166,172,1.0433,,92.4,264.6,,,62,7,15
8,321.85,1000.0,5.364166666666667,2742.493,8000.0,142,151,305,334,168,174,1.117,,94.4,255.9,,,62,0,10
9,334.313,1000.0,5.571883333333333,3076.806,9000.0,147,156,306,393,166,170,1.0695,,93.0,261.4,,,67,10,8
10,339.499,1000.0,5.658316666666667,3416.3050000000003,10000.0,154,160,318,415,168,170,1.0459,,91.5,261.8,,,73,17,0
11,300.684,1000.0,5.0114,3716.9890000000005,11000.0,155,161,316,390,168,176,1.1728,,94.5,246.4,,,67,0,12
