,total_timer_time,total_distance,pace_calculated,cumulative_time,cumulative_distance,avg_heart_rate,max_heart_rate,avg_power,max_power,avg_running_cadence_corrected,max_running_cadence_corrected,avg_step_length_m,gct_imbalance_ms,avg_vertical_oscillation,avg_stance_time,avg_stance_time_balance,avg_temperature,total_calories,total_ascent,total_descent
1,267.341,1000.0,4.455683333333334,267.341,1000.0,145,163,366,511,170,180,1.2966,,98.1,235.7,,,56,0,5
2,32.659,121.33,4.48624962224237,300.0,1121.33,165,167,376,401,172,174,1.3300999999999998,,99.6,233.3,,,8,0,0
3,60.0,102.7,9.737098344693282,360.0,1224.03,157,167,203,379,118,168,1.0151000000000001,,71.4,283.7,,,12,4,0
4,240.0,931.41,4.294564155420277,600.0,2155.44,163,175,383,492,170,176,1.327,,97.7,229.5,,,56,9,10
5,60.0,96.86,10.324179227751394,660.0,2252.3,163,172,144,418,98,236,0.8305,,67.0,274.8,,,12,1,0
6,180.0,729.79,4.1107715918277865,840.0,2982.09,172,181,429,581,176,182,1.367,,96.9,221.7,,,44,9,0
7,60.0,115.41,8.664760419374405,900.0,3097.5,163,181,129,369,120,170,0.9371,,67.8,254.3,,,12,0,5
8,120.0,505.17,3.9590632856266206,1020.0,3602.67,164,172,419,496,176,180,1.4088,,98.6,219.7,,,28,4,5
9,60.0,102.47,9.758953840148335,1080.0,3705.14,166,170,160,396,124,176,0.8636,,65.0,252.9,,,13,1,0
10,60.0,266.88,3.7470023980815346,1140.0,3972.02,160,167,432,506,176,184,1.5015999999999998,,99.8,208.8,,,14,1,2
11,60.0,126.98,7.875255945818238,1200.0,4099.0,158,168,182,399,140,232,0.8994,,70.5,241.7,,,12,0,3
12,60.0,271.73,3.680123652154712,1260.0,4370.73,157,170,442,499,178,184,1.5155,,98.5,203.8,,,13,0,2
13,60.0,126.98,7.875255945818238,1320.0,4497.709999999999,165,173,139,444,106,176,0.9689,,67.6,227.6,,,14,0,1
14,60.0,301.43,3.317519822180937,1380.0,4799.139999999999,157,168,476,523,186,192,1.571,,94.9,188.5,,,13,0,0
